,r,s,p,elevation
166,121.63164844457212,23.802462572264506,166.0,-680.1302487508012
167,121.64147761921078,23.80242541426287,167.0,-1190.425110088567
168,121.65130678817864,23.80238763361836,168.0,-1578.9735556843273
169,121.66113595138157,23.802349230332428,169.0,-1822.4949377866992
170,121.67096510872528,23.802310204406584,170.0,-2139.036609142244
171,121.6807942601156,23.802270555842348,171.0,-2158.9066292123744
172,121.69062340545831,23.80223028464126,172.0,-2328.642688903179
173,121.70045254465917,23.802189390804905,173.0,-2539.1128549824666
174,121.710281677624,23.802147874334867,174.0,-2768.6826619970157
175,121.72011080425855,23.802105735232775,175.0,-3016.1647465220767
176,121.72993992446865,23.80206297350027,176.0,-3317.886609435822
177,121.73976903816003,23.802019589139014,177.0,-3641.0709020497206
178,121.74959814523852,23.801975582150707,178.0,-3855.763037036406
179,121.75942724560993,23.801930952537056,179.0,-3956.668302386206
180,121.76925633917999,23.80188570029982,180.0,-3870.6989818104535
181,121.77908542585455,23.801839825440748,181.0,-3866.581591156135
182,121.78891450553938,23.80179332796164,182.0,-3991.754614201245
183,121.79874357814026,23.8017462078643,183.0,-4075.825020637203
184,121.80857264356301,23.80169846515058,184.0,-4136.315987976202
185,121.81840170171341,23.801650099822336,185.0,-4234.755619872291
186,121.82823075249726,23.80160111188145,186.0,-4252.521923529382
187,121.83805979582037,23.80155150132984,187.0,-4168.009098595558
188,121.84788883158853,23.801501268169435,188.0,-4040.9787834032704
189,121.85771785970755,23.8014504124022,189.0,-3876.7138120315076
190,121.86754688008324,23.801398934030125,190.0,-3692.996878381313
191,121.87737589262137,23.801346833055206,191.0,-3505.2806729913873
192,121.88720489722778,23.801294109479482,192.0,-3326.7389915009508
193,121.89703389380826,23.80124076330501,193.0,-3172.367398147002
194,121.90686288226863,23.801186794533873,194.0,-3055.072311877852
195,121.91669186251467,23.801132203168173,195.0,-2975.796466700226
196,121.92652083445222,23.80107698921004,196.0,-2915.9572730055274
197,121.93634979798709,23.801021152661626,197.0,-2874.4656185050967
198,121.94617875302507,23.800964693525117,198.0,-2851.3154675665696
199,121.956007699472,23.80090761180271,199.0,-2831.5572866647253
200,121.96583663723366,23.800849907496637,200.0,-2812.960811302715
201,121.97566556621591,23.80079158060914,201.0,-2807.4740150509315
202,121.98549448632455,23.800732631142505,202.0,-2829.0158748357635
203,121.9953233974654,23.800673059099022,203.0,-2863.146050393967
204,122.00515229954426,23.800612864481025,204.0,-2893.7168087322107
205,122.014981192467,23.80055204729085,205.0,-2803.0392517280825
206,122.0248100761394,23.800490607530886,206.0,-2716.0872117893855
207,122.0346389504673,23.80042854520352,207.0,-2745.8032206171515
208,122.04446781535654,23.800365860311175,208.0,-2867.306450150308
209,122.05429667071292,23.800302552856287,209.0,-2898.233816390788
210,122.06412551644227,23.80023862284134,210.0,-2969.661201593955
211,122.07395435245047,23.80017407026883,211.0,-3005.9077599707803
212,122.0837831786433,23.80010889514126,212.0,-3122.8476757291082
213,122.0936119949266,23.800043097461188,213.0,-3160.3868887915537
214,122.10000000000022,23.799999999999986,213.64992673046424,-3158.3769531247654
