date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2018-02-14 00:21:46.21 23.8898 121.5677 9.46 4.21 99 10.50 85 0.40 0.20 0.20 F 182 C
2018-02-15 23:34:56.80 24.2052 121.7065 8.56 4.01 99 9.90 99 0.32 0.20 0.20 F 237 C
2018-02-17 09:06:36.73 22.6337 121.3212 20.37 4.50 99 15.80 84 0.33 0.10 0.10 F 216 B
2018-02-18 19:21:49.67 23.8645 121.0980 27.53 4.62 99 13.00 24 0.27 0.10 0.10 F 259 B
2018-02-19 14:47:01.29 24.5878 121.6137 52.68 5.53 99 6.80 21 0.23 0.20 0.10 F 297 B
2018-02-21 23:10:41.38 23.4130 121.5337 35.57 5.66 99 13.60 99 0.30 0.20 0.20 F 287 C
2018-02-24 19:56:05.11 24.7877 121.8040 77.32 4.33 99 5.50 28 0.24 0.20 0.10 F 284 B
2018-02-25 18:28:40.89 24.4313 121.8958 22.11 5.45 99 12.00 64 0.28 0.10 0.10 F 300 B
2018-02-26 06:56:09.38 23.3858 121.6653 28.65 4.12 99 23.20 136 0.38 0.20 0.20 F 306 C
2018-02-27 04:40:07.73 24.1910 121.8257 2.30 4.04 79 15.10 124 0.45 0.20 0.30 F 147 C
2018-03-03 17:35:51.94 24.1772 121.7133 10.13 4.91 99 9.40 90 0.40 0.10 0.10 F 347 B
2018-03-06 09:42:10.10 24.7028 121.8645 81.74 4.95 99 10.50 63 0.24 0.10 0.10 F 345 B
2018-03-14 13:03:39.10 24.1493 121.8335 5.74 4.21 99 19.50 114 0.39 0.10 0.20 F 290 C
2018-03-14 10:48:47.03 24.1587 121.9008 8.09 4.61 80 22.60 191 0.35 0.40 1.40 F 92 D
2018-03-14 10:48:42.96 24.1457 121.8362 8.31 4.30 99 20.00 77 0.26 0.30 0.40 F 176 C
2018-03-15 11:57:50.29 24.0413 121.0070 17.22 4.16 99 6.00 16 0.35 0.10 0.10 F 339 B
